timestamp,accX,accY,accZ,temperature,voltage,lightLevel
01-01 08:30:00,-564,7,8291,22.875,0.19,0.07191419601
01-01 10:15:10,-574,7,8299,22.875,0.19,0.073554039
01-01 12:00:20,-552,18,8303,22.875,0.19,0.07185745239
01-01 13:45:30,-567, 18,8269,22.875,0.2,0.06729634602
01-01 15:30:40,-587,2,8324,22.875,0.18,0.07713508605
01-01 17:15:50,-561,-16,8282,22.875,0.19,0.07359886169
01-01 19:00:00,-555,23,8309,22.875,0.16,0.07306098937
01-01 20:45:10,-567,25,8303,22.875,0.19,0.07767995198
01-01 22:30:20,-579,-6,8261,22.875,0.19,0.07516479492
01-01 23:59:30,-568,82,8297,22.875,0.19,0.07124328613
01-02 01:15:40,-499,79,8464,22.875,0.19,0.07357645034
01-02 03:00:50,-113,-232,8574,22.875,0.19,0.0751876831
01-02 04:45:00,-159,-473,8809,22.875,0.2,0.07119941711
01-02 06:30:10,1517,-1389,7171,22.875,0.19,0.07507324218
01-02 08:15:20,-2361,-119,8048,22.875,0.19,0.07493591308
01-02 10:00:30,-832,2422,9654,22.75,0.19,0.06967306137
01-02 11:45:40,-1142,329,8348,22.875,0.19,0.07468827565
01-02 13:30:50,-1120,351,7962,22.875,0.18,0.0761159261
01-02 15:15:00,-860,272,8169,22.875,0.19,0.0729265213
01-02 17:00:10,-2170,713,9657,22.875,0.15,0.0744094848
01-02 18:45:20,-1993,683,6613,22.875,0.19,0.07298787434
01-02 20:30:30,3511,-1020,847,22.875,0.19,0.07450103759
01-02 22:15:40,1444,-1448,6103,22.875,0.19,0.07554848988
01-02 23:59:50,228,2434,8550,22.875,0.19,0.07432460784
01-03 01:45:00,-357,-433,7767,22.75,0.19,0.07258733113
01-03 03:30:10,-691,-198,7993,22.75,0.18,0.07215722401
01-03 05:15:20,-564,165,8562,22.75,0.19,0.07332992553
01-03 07:00:30,-311,-348,8500,22.75,0.19,0.07353401184
01-03 08:45:40,-802,32,8615,22.75,0.19,0.07253837585
01-03 10:30:50,-1882,356,8615,22.75,0.19,0.07289124619
01-03 12:15:00,-411,-42,8305,22.75,0.19,0.0726070404
01-03 14:00:10,-627,-61,8124,22.75,0.19,0.07253837585
01-03 15:45:20,-399,0,8270,22.75,0.19,0.07236814522
01-03 17:30:30,-271,-93,8847,22.75,0.19,0.07236814522
01-03 19:15:40,-527,47,8736,22.75,0.19,0.07262992853
01-03 21:00:50,-190,40,8286,22.75,0.19,0.07232284546
01-03 22:45:00,-369,-49,8239,22.75,0.19,0.07219929123
01-04 00:30:10,-569,34,8306,22.75,0.19,0.07236814522
01-04 02:15:20,9740,-8546,9820,22.75,0.19,0.07241430897
01-04 04:00:30,-531,56,8405,22.75,0.19,0.07227611554
01-04 05:45:40,-259,-149,8830,22.75,0.19,0.07227611554
01-04 07:30:50,13,-358,6454,22.75,0.19,0.07229109037
01-04 09:15:00,751,-621,9565,22.75,0.19,0.07378228505
01-04 11:00:10,-4796,738,10148,22.75,0.19,0.07090123494
01-04 12:45:20,-470,66,1707,22.75,0.19,0.07124964396
01-04 14:30:30,-1186,437,8446,22.75,0.19,0.07213513056
01-04 16:15:40,-875,287,8133,22.75,0.19,0.07070525487
01-04 18:00:50,-1010,105,7465,22.75,0.19,0.07382742563
01-04 19:45:00,-315,537,10472,22.75,0.19,0.07213513056